site_id,hour,split,rows,pred_actual_ratio,site_nrmse_pct
S028,12,train,243,1.0408014646222337,13.593507879656737
S028,12,valid,61,0.9434524052487699,22.421224277812374
S028,13,future,86,0.863912212949025,21.193207932322476
S028,13,test,122,0.9682836014479033,19.865214497338652
S028,13,train,245,1.0915503027131268,14.494866077553581
S028,13,valid,61,0.9117181223005942,19.400593774363163
S028,14,future,87,0.8946998177321468,18.45830464521899
S028,14,test,122,1.0225900320740287,17.84599777925239
S028,14,train,246,1.1149855427857656,13.51477869296677
S028,14,valid,60,0.9049770707816713,21.174336466158934
S030,10,future,86,1.0303949362886253,18.557921031692395
S030,10,test,120,1.1215761815754948,11.292272686615211
S030,10,train,899,1.0548328361446093,13.813107111423669
S030,10,valid,62,0.9691906001960473,15.202939804519309
S030,11,future,84,0.8346477822485667,22.859777297028288
S030,11,test,120,1.0955589068894283,11.973029526562803
S030,11,train,904,1.0077063567782183,14.752635325295785
S030,11,valid,62,1.0037235181616957,16.064821858551113
S030,12,future,85,0.7708933105657503,24.257543342787894
S030,12,test,121,1.0560341236171102,12.349905926676335
S030,12,train,905,0.9921589848820778,14.888409762019858
S030,12,valid,60,1.0508576118486954,19.24062699725616
S030,13,future,86,0.7802003780959544,24.370668550924577
S030,13,test,121,1.11127415681921,14.355124630953348
S030,13,train,907,1.0116849881083758,14.779508623324404
S030,13,valid,62,1.0077756633952035,16.04562006545735
S030,14,future,87,0.8344087426805837,20.434155853928715
S030,14,test,121,1.154761724146218,13.821029183218911
S030,14,train,906,1.028357037509967,14.68154018651907
S030,14,valid,61,0.9904128995548654,17.395600076120793
S031,10,future,85,0.972843759661491,7.473817892013894
S031,10,test,120,1.128245928676019,7.410795500984663
S031,10,train,891,0.9416703913797354,9.48646338451961
S031,10,valid,62,1.0609052236300698,13.225585781250986
S031,11,future,87,0.7926113060378948,10.64148328563929
S031,11,test,121,1.0750254687925935,6.9784348137312335
S031,11,train,900,0.9831670314120446,10.036726300021211
S031,11,valid,62,1.0292792794130257,15.16788282605459
S031,12,future,87,0.7093404192241236,13.537327379712108
S031,12,test,120,1.0027872461298992,8.469423010429201
S031,12,train,901,0.9960168879574688,10.390460998093415
S031,12,valid,61,1.0296320060911337,14.739055064176126
S031,13,future,87,0.6415890121246484,15.563219564800729
S031,13,test,120,1.0242617812839638,8.413239839387016
S031,13,train,897,1.0316979105943078,10.373842280717204
S031,13,valid,61,0.99310437885377,14.203003706801596
S031,14,future,85,0.5872523176216888,16.642319270214404
S031,14,test,119,1.0476968234084025,9.842744099603376
S031,14,train,901,1.042411932188016,10.462077414659468
S031,14,valid,61,0.9648428645786749,14.10185931383616
S032,10,future,87,1.4188179085583954,20.81637926403423
S032,10,test,122,0.5310847193408836,19.717748592171475
S032,10,train,543,1.192533136626528,9.408805350432587
S032,10,valid,62,0.5064968243853218,29.566273199588878
S032,11,future,87,1.1864769353716833,19.376694911672672
S032,11,test,122,0.5065701230051208,23.42559950783792
S032,11,train,543,1.221363226630478,10.699544753592775
S032,11,valid,62,0.5082481839611026,32.728514071373716
S032,12,future,86,1.0811905070043213,18.60435488261862
S032,12,test,122,0.49632801514509683,24.83731985292852
S032,12,train,543,1.2360959468571422,11.120025761175405
S032,12,valid,62,0.5327170045037893,32.600571295412784
S032,13,future,88,1.09801149881445,18.130442306781955
S032,13,test,122,0.48706099412028697,23.713232489429757
S032,13,train,542,1.2779889381741962,11.408190844551957
S032,13,valid,62,0.5458811266203242,30.307691311888245
S032,14,future,88,1.1137514237456256,16.5183162139739
S032,14,test,122,0.5526876964821019,17.74658979044753
S032,14,train,543,1.3267294507018235,10.724712200024305
S032,14,valid,61,0.5163983490283872,30.089972496749557
S033,10,future,89,1.3824599474220791,19.946869178516792
S033,10,test,122,1.1716973482211626,13.279386512432342
S033,10,train,110,1.1431741267445634,14.278881818859734
S033,10,valid,61,0.8953619137384017,19.401735020926207
S033,11,future,89,1.1657867358952787,18.955429268969493
S033,11,test,122,1.1057866677824992,13.493127498901291
S033,11,train,110,1.13039040686677,15.179884535059418
S033,11,valid,61,0.8633324139362362,22.050407622106373
S033,12,future,89,1.0772147039285151,20.254203144642066
S033,12,test,122,1.1017907851612614,14.816732203136674
S033,12,train,110,1.0510559835749695,15.181783002276394
