site_id,hour,pred_actual_ratio_future,pred_actual_ratio_test,pred_actual_ratio_train,pred_actual_ratio_valid,rows_future,rows_test,rows_train,rows_valid,site_nrmse_pct_future,site_nrmse_pct_test,site_nrmse_pct_train,site_nrmse_pct_valid,bias_class,train_valid_ratio_gap,is_stable_extreme_candidate
S065,12,0.6646398113957233,1.0530170223818354,0.9910732278332686,1.0052227080479539,87.0,122.0,896.0,61.0,31.69771186036554,14.126203250938588,15.649926552402144,25.018627408409234,unstable_or_mild,0.014149480214685317,False
S115,12,1.0092377617680475,1.0700497120344445,0.9797384776462144,0.8809730142231216,89.0,109.0,893.0,62.0,29.628721882537164,29.508775221199425,27.938645742363878,24.995241058190306,unstable_or_mild,0.09876546342309278,False
S002,11,1.1580180779036586,1.018559198729266,0.777912097052642,1.363032600920979,86.0,121.0,61.0,62.0,15.108044015115043,13.057992688292043,26.615103274983078,24.991181842407663,unstable_or_mild,0.585120503868337,False
S008,14,1.431742537976437,1.122940979425737,1.1999596226873,0.8415422191109306,90.0,122.0,91.0,61.0,26.424978758519007,12.81731433965553,19.071949309522022,24.93218390149714,unstable_or_mild,0.3584174035763693,False
S076,13,0.9023895976909324,,1.0277314515079754,0.9375436663907494,47.0,,59.0,45.0,25.62234863357105,,21.331094281988747,24.923391253667287,unstable_or_mild,0.09018778511722603,False
S063,12,0.8857036880558433,0.8868565371804094,0.9688415286757289,0.9085603063914311,90.0,120.0,59.0,61.0,25.261752894188895,15.646806189942078,18.56760049293799,24.92105166885105,unstable_or_mild,0.060281222284297775,False
S002,13,1.023749981161438,1.0501636781735408,0.7208658846425935,1.4729326802436302,86.0,122.0,62.0,62.0,15.060621895105033,13.725254160436705,28.70289868284166,24.738595002735305,unstable_or_mild,0.7520667956010367,False
S022,14,0.2876055963264609,0.733765153111636,1.209335434660567,0.6970168585023995,90.0,122.0,861.0,62.0,33.95233018283443,14.638713879773391,12.520826123981035,24.513695609373595,unstable_or_mild,0.5123185761581674,False
S008,11,1.4625001553898391,0.99043781147551,1.1185529985849438,0.8595466056183294,90.0,122.0,90.0,62.0,30.752305899663128,15.098331891967948,16.643129973479805,24.161554223095948,unstable_or_mild,0.25900639296661443,False
S063,13,0.8353745623720749,0.8606174169863577,0.9715503096867536,0.917366889467385,90.0,116.0,59.0,61.0,24.67288466293248,17.39951126914593,16.87603186127226,24.135872282296024,unstable_or_mild,0.054183420219368617,False
S003,14,,,0.926007129718021,1.366551878030089,,,593.0,13.0,,,13.69573508252967,24.10687773207236,unstable_or_mild,0.4405447483120679,False
S063,14,0.8390309823712125,0.9140663054038738,1.0174260143264708,0.9046451112788766,90.0,116.0,59.0,61.0,20.838692738016384,14.087505169519227,15.404737008698591,23.837790413080395,unstable_or_mild,0.11278090304759425,False
S038,13,1.1591602505072514,1.1090180035510704,0.9720809276523599,0.8637771300358793,78.0,121.0,55.0,61.0,16.08650591086772,15.608139019403033,22.036112875991677,23.74895534478769,unstable_or_mild,0.10830379761648057,False
S115,13,0.9643071972097752,1.0876817871924471,0.9399317319430138,0.9129616549965899,89.0,111.0,894.0,62.0,29.334098262328645,27.901244130702835,26.455164490549876,23.596292568011005,unstable_or_mild,0.02697007694642395,False
S019,13,0.6014814257422489,0.8519044715736704,1.0145923095027114,0.9289047890037899,90.0,122.0,889.0,56.0,34.478381649589494,22.564248774738072,14.894203972719453,23.4498561769306,unstable_or_mild,0.08568752049892148,False
S042,11,0.927991589849244,1.0056287032375477,1.0191184315056043,0.9433654659223604,78.0,121.0,218.0,62.0,16.289058208719386,12.606032810493527,11.207167141093514,23.42012028774499,unstable_or_mild,0.07575296558324396,False
S022,10,0.3841463337677896,0.7138403992809971,1.1626392284449678,0.6708749866461866,90.0,122.0,858.0,62.0,27.99990376530867,15.654116540563537,11.419788875990058,23.253526213363966,unstable_or_mild,0.4917642417987812,False
S038,12,1.1986607353460963,1.0705275872322868,1.0492498222585191,0.8593319047952016,77.0,120.0,55.0,61.0,16.75659435451687,13.959361399421319,15.47751330072407,23.24538810428408,unstable_or_mild,0.18991791746331754,False
