site_id,month,pr_month_new,pr_month_final,pr_count,pr_month_old,pr_diff
S047,12,0.6324412109914929,0.6324412109914929,143,0.78,0.14755878900850716
S048,4,0.1,0.78,6,0.78,0.0
S048,5,0.1,0.1,203,0.78,0.68
S048,6,0.41819262822619746,0.41819262822619746,164,0.78,0.36180737177380257
S049,1,0.41924403727561077,0.41924403727561077,278,0.78,0.36075596272438926
S049,2,0.48971757809847977,0.48971757809847977,321,0.78,0.29028242190152026
S049,3,0.5438800344738701,0.5438800344738701,496,0.78,0.2361199655261299
S049,4,0.554607532825264,0.554607532825264,582,0.78,0.22539246717473604
S049,5,0.603680356045909,0.603680356045909,597,0.78,0.17631964395409105
S049,6,0.6559688397302533,0.6559688397302533,533,0.78,0.1240311602697467
S049,7,0.6586275452539221,0.6586275452539221,261,0.78,0.12137245474607794
S049,8,0.7254913245427214,0.7254913245427214,369,0.78,0.054508675457278666
S049,9,0.6276857887000848,0.6276857887000848,257,0.78,0.15231421129991518
S049,10,0.5869109139379499,0.5869109139379499,239,0.78,0.1930890860620501
S049,11,0.5502649951972292,0.5502649951972292,153,0.78,0.22973500480277087
S049,12,0.4702278982641649,0.4702278982641649,131,0.78,0.30977210173583514
S050,4,0.1,0.78,2,0.78,0.0
S050,5,0.6085402582581395,0.6085402582581395,195,0.78,0.17145974174186052
S050,6,0.5691964012399037,0.5691964012399037,162,0.78,0.21080359876009636
S051,4,0.6302996301556824,0.78,7,0.78,0.0
S051,5,0.5756514792059519,0.5756514792059519,196,0.78,0.20434852079404808
S051,6,0.5723420487455926,0.5723420487455926,153,0.78,0.20765795125440745
S052,1,0.32516435353360496,0.32516435353360496,106,0.78,0.45483564646639507
S052,2,0.3620602582088063,0.3620602582088063,128,0.78,0.41793974179119375
S052,3,0.4307206279210269,0.4307206279210269,159,0.78,0.34927937207897314
S052,4,0.4308568026767348,0.4308568026767348,219,0.78,0.3491431973232652
S052,5,0.4458439055485396,0.4458439055485396,196,0.78,0.33415609445146044
S052,6,0.7359113429889477,0.7359113429889477,154,0.78,0.04408865701105236
S052,8,0.1,0.1,61,0.78,0.68
S052,9,0.49114444558004056,0.49114444558004056,131,0.78,0.28885555441995947
S052,10,0.4722622788117275,0.4722622788117275,109,0.78,0.30773772118827253
S052,11,0.45707251416750094,0.45707251416750094,77,0.78,0.3229274858324991
S052,12,0.3971487645177957,0.3971487645177957,70,0.78,0.38285123548220434
S053,1,0.5196604315805422,0.5196604315805422,288,0.78,0.2603395684194578
S053,2,0.4386195992778223,0.4386195992778223,319,0.78,0.34138040072217773
S053,3,0.46633066753022906,0.46633066753022906,495,0.78,0.31366933246977097
S053,4,0.46725268404959414,0.46725268404959414,561,0.78,0.3127473159504059
S053,5,0.5242128304601492,0.5242128304601492,580,0.78,0.2557871695398508
S053,6,0.4952450900024474,0.4952450900024474,515,0.78,0.28475490999755265
S053,7,0.5146216833889121,0.5146216833889121,247,0.78,0.2653783166110879
S053,8,0.6905249557954187,0.6905249557954187,358,0.78,0.0894750442045813
S053,9,0.7953552162379149,0.7953552162379149,250,0.78,0.015355216237914915
S053,10,0.7637321097544514,0.7637321097544514,242,0.78,0.016267890245548644
S053,11,0.7974522652664426,0.7974522652664426,162,0.78,0.017452265266442613
S053,12,0.6280777069394335,0.6280777069394335,143,0.78,0.15192229306056648
S054,1,0.3582004687449266,0.3582004687449266,48,0.78,0.4217995312550734
S054,2,0.2715128421805626,0.2715128421805626,127,0.78,0.5084871578194374
S054,3,0.5176142762938012,0.5176142762938012,162,0.78,0.26238572370619884
S054,4,0.5695423104111985,0.5695423104111985,222,0.78,0.2104576895888015
S054,5,0.5529223628522808,0.5529223628522808,203,0.78,0.22707763714771922
S054,6,0.554892223623132,0.554892223623132,164,0.78,0.22510777637686807
S055,4,0.1,0.78,2,0.78,0.0
S055,5,0.1,0.1,195,0.78,0.68
S055,6,0.1,0.1,159,0.78,0.68
S056,4,0.5633852770170091,0.5633852770170091,48,0.78,0.2166147229829909
S056,5,0.548118457929057,0.548118457929057,203,0.78,0.23188154207094303
S056,6,0.6117871627714017,0.6117871627714017,164,0.78,0.16821283722859837
S057,1,0.5270739869288664,0.5270739869288664,275,0.78,0.2529260130711336
S057,2,0.5030985148047502,0.5030985148047502,330,0.78,0.2769014851952498
S057,3,0.5015653812257578,0.5015653812257578,508,0.78,0.27843461877424225
S057,4,0.54030979454419,0.54030979454419,573,0.78,0.23969020545581
S057,5,0.5039461202745733,0.5039461202745733,591,0.78,0.2760538797254267
S057,6,0.6981208697158205,0.6981208697158205,548,0.78,0.08187913028417948
S057,7,0.8336644284735248,0.8336644284735248,272,0.78,0.05366442847352482
S057,8,0.8604086450102063,0.8604086450102063,356,0.78,0.08040864501020628
S057,9,0.7977285906180197,0.7977285906180197,271,0.78,0.01772859061801968
S057,10,0.7311272576738599,0.7311272576738599,246,0.78,0.04887274232614014
S057,11,0.7022200371151965,0.7022200371151965,154,0.78,0.07777996288480349
S057,12,0.6099980972481633,0.6099980972481633,147,0.78,0.1700019027518367
S058,1,0.5279075854984505,0.5279075854984505,277,0.78,0.2520924145015495
S058,2,0.4551065047872245,0.4551065047872245,321,0.78,0.32489349521277555
S058,3,0.5407103729649252,0.5407103729649252,505,0.78,0.23928962703507484
S058,4,0.5768871566684779,0.5768871566684779,572,0.78,0.20311284333152213
S058,5,0.6615586565849565,0.6615586565849565,592,0.78,0.11844134341504353
S058,6,0.7524434472804057,0.7524434472804057,543,0.78,0.02755655271959434
S058,7,0.712755000937519,0.712755000937519,269,0.78,0.06724499906248105
S058,8,0.8404574328920718,0.8404574328920718,354,0.78,0.06045743289207173
S058,9,0.7172036732571373,0.7172036732571373,263,0.78,0.06279632674286273
S058,10,0.750065644076165,0.750065644076165,244,0.78,0.029934355923834977
S058,11,0.6828714053131285,0.6828714053131285,161,0.78,0.09712859468687152
S058,12,0.1,0.1,141,0.78,0.68
